DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
113,1566.778915,1565.305516,1422.069598,1405.797732,1305.577246,1493.859499,1458.407309,1300.366843,0.12198,0.03155,0.02004,0.05785,0.87283,0.95143,0.85902,0.958, 
114,1567.061815,1565.434506,1421.469973,1405.898478,1305.720489,1494.151006,1458.281517,1300.343076,0.11705,0.02497,0.02004,0.05785,0.88763,0.96425,0.86987,0.96984, 
115,1567.184368,1565.446676,1420.693265,1405.806956,1306.007528,1494.41247,1458.511267,1300.528706,0.12363,0.02497,0.02004,0.06114,0.8896,0.96919,0.87612,0.97839, 
116,1567.069102,1565.403252,1419.814557,1405.687482,1306.245423,1494.609479,1458.946187,1300.586774,0.12034,0.02826,0.01839,0.05785,0.89848,0.97642,0.88204,0.9853, 
117,1567.218192,1565.742246,1418.886903,1406.290294,1306.613434,1495.063726,1459.483057,1299.930199,0.12198,0.02661,0.02168,0.05785,0.90342,0.98629,0.88927,0.99516, 
118,1567.299064,1565.777909,1417.757143,1406.864077,1307.054884,1495.512689,1459.877672,1299.228061,0.12034,0.02826,0.01839,0.05785,0.9192,1.00339,0.90572,0.99878, 
119,1567.272374,1565.646333,1416.870635,1406.466528,1307.100859,1495.71195,1459.457086,1299.063226,0.12856,0.02661,0.02004,0.0595,0.92019,1.00733,0.90637,1.01292, 
120,1567.482361,1565.782147,1416.756315,1405.747107,1307.350413,1496.300233,1458.818017,1299.665886,0.12363,0.02826,0.02333,0.05785,0.9317,1.01753,0.9215,1.02016, 
121,1567.268508,1565.393934,1416.986742,1404.446221,1307.60239,1496.464525,1458.564043,1300.478513,0.12856,0.02826,0.0299,0.05785,0.94156,1.02739,0.92709,1.03232, 
122,1567.475799,1565.614022,1417.503839,1403.732244,1307.875251,1496.87361,1458.564949,1301.519723,0.12034,0.02661,0.02826,0.05621,0.95011,1.03759,0.93498,1.04186, 
